Rand,Vb,phi,Sw,So,Bo,RF,RESERVE
0.1552147464040412,16583.1261071319,0.22479475566736346,0.23315758284297783,0.7668424171570222,1.2,0.36618929204075373,6767571.859474077
0.601118950323519,23994.75920535493,0.2597520327973136,0.284318074435874,0.715681925564126,1.2,0.4085414811734568,11781486.464745766
0.7380400243015056,26217.668423043448,0.2711754592560637,0.3043560900030957,0.6956439099969043,1.2,0.4212438195602483,13468942.833290853
0.5663140989773378,23474.153669626732,0.2571784933378208,0.2798037875939715,0.7201962124060285,1.2,0.4055665923978671,11400033.487038696
0.7943793063638959,27293.314267959522,0.27674322813606467,0.3141226026948017,0.6858773973051984,1.2,0.427390367245483,14314396.028291527
0.9272600171485721,30991.490616526124,0.2942719249855728,0.3448699709745276,0.6551300290254725,1.2,0.44852280352300644,17324944.78983608
0.08086222034004453,14337.443931710786,0.21511424533312412,0.22115038754302319,0.7788496124569768,1.2,0.3533568224669188,5487525.129833175
0.11651782167819436,15543.30925031739,0.2201469568794251,0.22739269795211803,0.772607302047882,1.2,0.3602474814303851,6157217.077416037
0.11380123623093197,15461.745949027787,0.21979344965930045,0.22695422620988273,0.7730457737901173,1.2,0.35978140542301595,6110626.397649316
0.2879329511114639,19236.637902722607,0.23739068493564341,0.2487809102799333,0.7512190897200667,1.2,0.38135221658698637,8457738.698475135
0.5514024042060055,23253.69766430868,0.2561076051339023,0.2779253254199155,0.7220746745800846,1.2,0.4043068437960496,11240256.76058353
0.44464358527828296,21687.96354719333,0.2488915950299413,0.2653004426142255,0.7346995573857745,1.2,0.3953597916982476,10136775.125210004
0.4494969827278833,21759.56146362413,0.24921213106515835,0.2658465285075795,0.7341534714924205,1.2,0.39576892264928076,10186298.345136696
0.6886549578694718,25370.241439500416,0.2667718130743888,0.2966315836074383,0.7033684163925618,1.2,0.41640137965428814,12815279.80299613
0.14884802489269566,16425.24345901621,0.2240736642315297,0.2322631789943959,0.7677368210056041,1.2,0.36528710548009263,6672950.034289213
0.11965252243926927,15635.767308869752,0.22054979009790904,0.22789235106550176,0.7721076489344982,1.2,0.36077581319354146,6210258.04013026
0.1406534791699433,16215.236607598941,0.2231224566952024,0.2310833512513198,0.7689166487486803,1.2,0.36408706632913684,6548165.063775461
0.8446174837084529,28412.77206622005,0.28239706263796566,0.32404008447425575,0.6759599155257443,1.2,0.4337872689498289,15210379.734685834
0.3715337771299658,20587.86933655031,0.24383273596626623,0.2573461110997459,0.7426538889002541,1.2,0.3890735390660018,9377565.347847642
0.6113336795319644,24149.647745407903,0.2605284646552729,0.2856800260108113,0.7143199739891887,1.2,0.40942655854518806,11896064.623136621
0.9107078274365592,30346.572002015055,0.2914945834914255,0.33999819171493556,0.6600018082850645,1.2,0.44483755429722893,16790175.194572195
0.1830493219429843,17227.802339443755,0.22778603857452218,0.2368678126576845,0.7631321873423155,1.2,0.3698731562253929,7161072.922173293
0.05011902966338311,12911.746425351334,0.20977191015998173,0.21452403629015007,0.78547596370985,1.2,0.3452099795734362,4748069.772839004
0.2635543863600527,18810.850331719583,0.23534009498896546,0.2462374664820583,0.7537625335179416,1.2,0.37891914475268335,8174364.074060225
0.3803073628564021,20722.7370832098,0.24446464385525657,0.25827531043870045,0.7417246895612996,1.2,0.38984421190405605,9470339.094178705
0.5358885402404605,23025.4719722942,0.2550121989615604,0.2760038558842138,0.7239961441157863,1.2,0.4030026969845383,11075981.768820874
0.20593267412957195,17713.076580591285,0.23007835897601925,0.23971108618361567,0.7602889138163843,1.2,0.3726461518890931,7464721.327748836
0.7577149472017862,26577.33128907165,0.2730447662079748,0.3076350713085358,0.6923649286914642,1.2,0.4232990359375523,13749790.963275181
0.6172414937569317,24239.75612645591,0.2609821856825253,0.28647590534177125,0.7135240946582287,1.2,0.4099414635797481,11962945.653606426
0.7789120822371315,26983.057671384122,0.2751457911490783,0.3113205128552536,0.6886794871447464,1.2,0.42561747240790926,14068868.175315112
0.19425766330246852,17469.84110590014,0.2289256955462488,0.23828138315779304,0.761718616842207,1.2,0.37125623489085796,7311733.481201848
0.24598420871622517,18491.44177367849,0.23380270343239737,0.24433056694527217,0.7556694330547278,1.2,0.3770939529924485,7964715.283352702
0.6405635118484496,24599.79841655802,0.26280846179565454,0.28967940556274896,0.710320594437251,1.2,0.4119988480946173,12231784.753592987
0.4001073599769511,21023.762855017278,0.2458644556746078,0.2603967827534927,0.7396032172465072,1.2,0.3915643591715273,9677800.663832277
0.9627214695521824,32901.88140300823,0.3015816768658181,0.3576921239859552,0.6423078760140448,1.2,0.4594393223029042,18930654.24692739
0.7636679934989524,26689.215812922885,0.2736252087965937,0.3086532349627268,0.6913467650372732,1.2,0.4239383760738451,13837547.209295033
0.17079131745352893,16952.250165447615,0.22649893527402581,0.2352713574950249,0.7647286425049751,1.2,0.3682985723739864,6991485.139291077
0.11917630556450598,15621.832458672929,0.22048893542587453,0.22781687013455862,0.7721831298654414,1.2,0.36069618547813104,6202248.521891925
0.33026965314873746,19938.182611220294,0.24075532774556926,0.25306041583298367,0.7469395841670163,1.2,0.3853610434926874,8932711.132450797
0.7986219438838374,27380.802985246497,0.2771918195825018,0.3149094841457821,0.6850905158542179,1.2,0.42789030277283713,14383862.355484124
0.6050870061209831,24054.796742643226,0.2600524542262233,0.2848450484826679,0.7151549515173321,1.2,0.40888455281510416,11825840.880570995
0.21749415361126012,17946.009344768958,0.2311880370759257,0.2410874724696292,0.7589125275303708,1.2,0.37397719625582265,7612698.317934526
0.028773996896283682,11421.768658687683,0.2049812274460744,0.20858192570094403,0.791418074299056,1.2,0.3366958209067868,4033292.032730826
0.5128135605338053,22687.39208558989,0.2534162437291018,0.2732043652140481,0.7267956347859519,1.2,0.40107081191765653,10834800.58541685
0.9395388576438164,31546.998581362517,0.2965437344097303,0.34885498832211687,0.6511450116778832,1.2,0.451697134750643,17788543.14224099
0.5765486957754699,23626.253127574226,0.2579241845124591,0.2811118164432575,0.7188881835567424,1.2,0.406435732157567,11510883.947188847
0.9532410833751765,32283.23536732392,0.29937219979527885,0.3538164448195723,0.6461835551804277,1.2,0.45590420209899385,18407149.80327432
0.480686727057959,22217.49095892868,0.2512559036442214,0.2694148780222985,0.7305851219777015,1.2,0.3983856626224496,10503990.986203523
0.990790895888886,36249.75917192053,0.3108456104839734,0.37394213852621744,0.6260578614737826,1.2,0.4785700524109745,21826212.814049266
0.4932483002468099,22401.271944672368,0.2520924122961651,0.27088221126511236,0.7291177887348876,1.2,0.3994358396838421,10632752.512801098
0.8278672160318609,28016.995579731625,0.28042212317329207,0.32057581148397996,0.67942418851602,1.2,0.43152568902703786,14891896.97469761
0.27628244726328566,19035.460326605345,0.23642201082087708,0.2475794179126485,0.7524205820873515,1.2,0.3802026304377449,8323301.062448424
0.06781930482977494,13795.3194215158,0.2129997951658758,0.21852773489005567,0.7814722651099444,1.2,0.35025896812294743,5199748.1480059475
0.721360101028917,25923.505792030213,0.2696450292360639,0.30167153815903774,0.6983284618409622,1.2,0.4195628902401727,13240716.68073051
0.12160863296744395,15692.599615015586,0.22079849569615476,0.22820083239419434,0.7717991676058057,1.2,0.3611005692286605,6242980.989990505
0.8095663570282902,27611.74655590194,0.27837133017927956,0.3169784826013053,0.6830215173986947,1.2,0.4292099803194397,14567704.046456728
0.9347922225636194,31322.71376501012,0.29564038640144175,0.34727041109232787,0.6527295889076721,1.2,0.4504155072286293,17601039.05987616
0.34246517855265435,20133.15720557515,0.2416839277987916,0.2543129519794698,0.7456870480205302,1.2,0.38647518403185804,9065805.486614369
0.31263487955292235,19651.02650059106,0.2393816976268819,0.2512692414332057,0.7487307585667943,1.2,0.38372015143194893,8737455.864259738
0.6002971063674759,23982.34450773209,0.25968999807614024,0.2842092583365129,0.7157907416634871,1.2,0.4084705400441834,11772323.991982488
0.6945413571421968,25467.793081831365,0.2672773895751926,0.2975184234562446,0.7024815765437554,1.2,0.41695881761046494,12889918.28646237
0.04517116277350908,12620.697573351801,0.20877059055100214,0.21328205217076254,0.7867179478292374,1.2,0.34354684327629603,4603903.683043428
0.6267356759602706,24385.44990178124,0.2617187393001701,0.28776790585578116,0.7122320941442188,1.2,0.41077399943875,12071426.865410013
0.1754967208555327,17059.45959243252,0.22699830297017898,0.23589074689157274,0.7641092531084273,1.2,0.36891119767104297,7057220.804603628
0.08096605281726121,14341.48326608785,0.2151303643422581,0.22117038071322093,0.7788296192867791,1.2,0.3533799043776449,5489700.1148910625
0.31370103075151023,19668.577555003765,0.23946582699057783,0.2513768737224639,0.748623126277536,1.2,0.3838204431714501,8749361.676918855
